"full_name","title","url","state","created","updated","closed","comments","body","author","days_open","days_no_activity"
"nlmixrdevelopment/nlmixr","Update DESCRIPTION","https://github.com/nlmixrdevelopment/nlmixr/pull/1","closed",2016-10-21,2016-10-21,2016-10-21,0,"Change to nlmixrdevelopment github site
","RikSchoemaker",0,0
"nlmixrdevelopment/nlmixr","Issues with installation instructions under OSX","https://github.com/nlmixrdevelopment/nlmixr/issues/2","closed",2016-12-06,2016-12-07,2016-12-07,2,"In the [Installing_nlmixr.pdf](https://github.com/nlmixrdevelopment/nlmixr/blob/master/inst/Installing_nlmixr.pdf) file they are a couple issues for the OSX instructions:

1) Is it currently not possible to copy and paste commands in R from the online pdf version on github > Suggest to change to an HTML format
2) To install packages from github I believe that the syntax should be: `devtools::install_github('nlmixrdevelopment/nlmixr ')` not `devtools::install_github('nlmixrdevelopment/nlmixr', repos = NULL, type = 'source')` which gave erros. The same thing applies to the `RxODE`.
3) For `RxODE` I got the following error even though I have gfortran (v.6.1) installed.
```
* installing *source* package ‘RxODE’ ...
** libs
** arch - 
echo ""make libodeaux.a in ode/ ...""
make libodeaux.a in ode/ ...
(cd ode; make CC=""`""/Library/Frameworks/R.framework/Resources/bin/R"" CMD config CC`"" FC=""`""/Library/Frameworks/R.framework/Resources/bin/R"" CMD config FC`"" CFLAGS=""`""/Library/Frameworks/R.framework/Resources/bin/R"" CMD config CFLAGS` -fPIC"" FFLAGS=""`""/Library/Frameworks/R.framework/Resources/bin/R"" CMD config FFLAGS` -fPIC"" libodeaux.a)
gfortran-4.8 -g -O2 -fPIC  -c -o opkda2.o opkda2.f
make[1]: gfortran-4.8: No such file or directory
make[1]: *** [opkda2.o] Error 1
make: *** [libodeaux] Error 2
ERROR: compilation failed for package ‘RxODE’
```
I was able to solve the issue using this [StackOverflow post](http://stackoverflow.com/questions/37753941/os-x-package-installation-issue-cant-find-gfortran-4-8-to-build-package).

4) I just came to realize that `RxODE` is now available on CRAN and this should be mentioned in the instructions it would prevent the installation issues.","guiastrennec",1,0
"nlmixrdevelopment/nlmixr","error compiling for Windows - solved","https://github.com/nlmixrdevelopment/nlmixr/issues/3","closed",2017-01-16,2017-01-16,2017-01-16,3,"R 3.3.2, Rtools 34, Windows 8.1 (x64):

```
d/libdparse.a: error adding symbols: Archive has no index; run ranlib to add one
collect2.exe: error: ld returned 1 exit status
no DLL was created
ERROR: compilation failed for package 'nlmixr'
```



","scheckley",0,0
"nlmixrdevelopment/nlmixr","Cannot run two SAEM jobs simultaneously","https://github.com/nlmixrdevelopment/nlmixr/issues/4","closed",2017-01-17,2017-10-11,2017-10-11,2,"In contrast to nlmixr/nlme it is currently not possible to run two or more nlmixr/SAEM instances at the same time under windows. For instance, when using Microsoft R Open with nlmixr, there is the possibility of setting up a temporary cluster and running nlme jobs in parallel, like with the following syntax:

```
library(doParallel)
library(foreach)

cl <- makeCluster(15)
registerDoParallel(cl)

do_nlmixr<-function(i){
datr <- read.csv(paste(""D:\\nmrun\\nmrun4\\runN024\\m1\\bs_pr1_"",i,"".dta"",sep=""""), header=TRUE,stringsAsFactors=F)
fit <- nlme_lin_cmpt(datr, par_model=specs4b, ncmt=1, verbose=TRUE,oral=TRUE,weight=varPower(fixed=c(1)),control = nlmeControl(pnlsTol = .1))
save(fit,file=paste(""fit_"",i,"".Rdata"",sep=""""))
}

nlmixr_out<-foreach(i=1:500, .combine='rbind', .packages=c('RxODE','nlmixr','nlme')) %dopar% do_nlmixr(i)
```
When you try to do something like that with SAEM, it crashes immediately, because a single dll is generated in the run directory that is then shared (?): nlme runs create temporary directories that store the material, but SAEM does not. It would be extremely useful if these processes were separated.
","RikSchoemaker",267,0
"nlmixrdevelopment/nlmixr","dll needs to be removed with nlmxr/SAEM before a new model can be run","https://github.com/nlmixrdevelopment/nlmixr/issues/5","closed",2017-01-17,2017-10-11,2017-10-11,1,"When you create an SAEM model, e.g. using the following syntax:

`saem_fit <- gen_saem_user_fn(model=lincmt(ncmt=1, oral=FALSE,infusion=TRUE))`

and then want to run a new model, you need to explicitly remove the dll before this works using:

```
dyn.unload(""saem_main.dll"")
saem_fit <- gen_saem_user_fn(model=lincmt(ncmt=2, oral=FALSE,infusion=TRUE))

```
Although it is nice that the dll is persistent so it can be reused for new data with the same model, it would be much nicer if the dll can be referenced explicitly (like with nlme) and put in a separate subdirectory instead of being created in the run directory. This may also be related to the issue with running multiple SAEM instances in parallel (see other issue).","RikSchoemaker",267,0
"nlmixrdevelopment/nlmixr","SAEM syntax requires a defined covariate","https://github.com/nlmixrdevelopment/nlmixr/issues/7","closed",2017-01-17,2017-10-11,2017-10-11,0,"Currently, SAEM syntax will only run when a covariate is explicitly specified:

The work-around is to specify a dummy covariate but that should not be necessary:

```
saem_fit <- gen_saem_user_fn(model=lincmt(ncmt=1, oral=FALSE))
nmdat$WT<-1
model = list(saem_mod=saem_fit, res.mod=2,covars=""WT"")
etc etc
```","RikSchoemaker",267,0
"nlmixrdevelopment/nlmixr","Uniform interface for estimation methods","https://github.com/nlmixrdevelopment/nlmixr/issues/6","closed",2017-01-17,2017-10-11,2017-10-11,1,"It would be a huge improvement if it were possible to provide a unified user interface for the different estimation algorithms. Naturally, as far as possible, because the different algorithms may build on different R packages: nlme for instance has its very well developed syntax that you would want to keep  being accessible, but some harmonisation should definitely be possible.

For instance: nlme requires parameters to be estimated in the log domain, a natural choice because it allows IIV to be implemented as additive on the log-scale corresponding to exponential-type IIV estimates. And while the SAEM module does basically the same, here parameter are specified on the original scale and are log-transformed internally.

nlme closed-form:
```
specs1<-list(fixed=lCL+lV~1, random = pdDiag(lCL+lV~1), start=c(lCL=1.6,lV=4.5))
fit <- nlme_lin_cmpt(dat, par_model=specs1, ncmt=1, verbose=TRUE,oral=FALSE,weight=varPower(fixed=c(1)))

```
nlme-ODE:
```
ode1 <- ""
d/dt(centr)  = -(CL/V)*centr;
""
mypar1 <- function(lCL, lV )
{
    CL <- exp(lCL) 
    V <- exp(lV)
}
fitODE <- nlme_ode(dat, model=ode1, par_model=specs1, par_trans=mypar1, response=""centr"", response.scaler=""V"", verbose=TRUE,weight=varPower(fixed=c(1)))

```
SAEM closed-form:
```
saem_fit <- gen_saem_user_fn(model=lincmt(ncmt=1, oral=FALSE))
model = list(saem_mod=saem_fit, res.mod=2,covars=""WT"")
inits = list(theta=c(5,90),omega=c(0.1,0.1),bres=0.2)
cfg   = configsaem(model, nmdat, inits)
cfg$print = 50
fit = saem_fit(cfg)

```
SAEM ODE:
```
ode1 <- ""
d/dt(centr)  = -(CL/V)*centr;
""
m1 = RxODE(ode1, modName=""m1"")
mypars1 <- function(lCL, lV )
{
    CL = exp(lCL) 
    V = exp(lV)
}
PRED = function() centr / V
dyn.unload(""saem_main.dll"")
saem_fit <- gen_saem_user_fn(model=m1, PKpars=mypars1, pred=PRED)

```

A suggestion would be:
-syntax to generate a compiled model with associated handle (e.g. m1)
-standard syntax to define parameter transformations
-standard syntax to provide inter-individual variability models
-standard syntax to describe residual variability models
-standard syntax to provide starting values
-standard syntax to start a model fit

Would it be an option to use exisiting nlme model definition as a starting point for this? It is well established syntax and it is probably easier to adapt new implementations to the exisiting standard than to try to adapt nlme syntax to newly developed conventions... ","RikSchoemaker",267,0
"nlmixrdevelopment/nlmixr","Merge some of my additions to nlmixr","https://github.com/nlmixrdevelopment/nlmixr/pull/8","closed",2017-04-11,2017-04-11,2017-04-11,0,"These allow:

- appveyor support
- starting testing framework using testthat.","mattfidler",0,0
"nlmixrdevelopment/nlmixr","Add Rik's example datasets to the nlmixr's sample datasets,also let roxygen do NAMESPACE managment.","https://github.com/nlmixrdevelopment/nlmixr/pull/9","closed",2017-04-18,2017-04-18,2017-04-18,0,"","mattfidler",0,0
"nlmixrdevelopment/nlmixr","VPC does not work for NLME objects","https://github.com/nlmixrdevelopment/nlmixr/issues/10","closed",2017-06-01,2017-06-09,2017-06-09,3,"The vpc() function does not work for fit objects generated by nlme_lin_cmt(). Fails with error:

Error in plot.window(...) : need finite 'ylim' values","kestrel99",8,0
